"","x","var","y"
"1",1,-0.791005309840222,0.208994690159778
"2",2,0.590094324921485,2.59009432492148
"3",3,-0.326135088099309,2.67386491190069
"4",4,-1.83908785624365,2.16091214375635
"5",5,-2.29255633025887,2.70744366974113
"6",6,1.42211933851149,7.42211933851149
"7",7,-0.682821337374554,6.31717866262545
"8",8,1.38377968011066,9.38377968011065
"9",9,-0.666690874317393,8.33330912568261
"10",10,-1.11462996524309,8.8853700347569
"11",11,0.270484060268092,11.2704840602681
"12",12,1.66208644129147,13.6620864412915
"13",13,0.676763623100888,13.6767636231009
"14",14,0.284522894027497,14.2845228940275
"15",15,2.66004307873171,17.6600430787317
"16",16,1.0825674049392,17.0825674049392
"17",17,-0.91966289562915,16.0803371043709
"18",18,0.237383670543375,18.2373836705434
"19",19,-0.252339717807593,18.7476602821924
"20",20,0.799345235865612,20.7993452358656
"21",21,2.52196601956475,23.5219660195648
"22",22,1.06144338245851,23.0614433824585
"23",23,-1.70366855100654,21.2963314489935
"24",24,1.72680311241035,25.7268031124103
"25",25,-1.47940666800898,23.520593331991
"26",26,0.736868124298825,26.7368681242988
"27",27,-0.276849150375863,26.7231508496241
"28",28,0.880539809059446,28.8805398090594
"29",29,-0.288863438386241,28.7111365616138
"30",30,1.78223646146825,31.7822364614683
"31",31,-0.53596541513856,30.4640345848614
"32",32,0.7570287654397,32.7570287654397
"33",33,-1.11587462749857,31.8841253725014
"34",34,0.322856254948997,34.322856254949
"35",35,0.828464072073165,35.8284640720732
"36",36,0.851649821797454,36.8516498217975
"37",37,0.708354930400936,37.7083549304009
"38",38,-0.0989624919201222,37.9010375080799
"39",39,-1.29636655407971,37.7036334459203
"40",40,1.21706362357698,41.217063623577
"41",41,-1.41227892076592,39.5877210792341
"42",42,0.330392178936486,42.3303921789365
"43",43,0.039150164494643,43.0391501644946
"44",44,0.152898044911664,44.1528980449117
"45",45,-0.787878331423465,44.2121216685765
"46",46,0.540724837926648,46.5407248379266
"47",47,-0.271678483540501,46.7283215164595
"48",48,0.0421573160988047,48.0421573160988
"49",49,-0.435624529459969,48.56437547054
"50",50,-1.01848879238767,48.9815112076123
